Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,231703120,2972.633527164472,3193434,40.970138749909566,286460,4746620,60.896727470521014,54174,0.6950249470124028,5290,
United States of America,Americas,42568842,12860.57,737335,222.76,0,681502,205.89,12090,3.65,0
India,South-East Asia,33678786,2440.48,200367,14.52,26041,447194,32.41,2061,0.15,276
Brazil,Americas,21343304,10041.1,112979,53.15,15688,594200,279.55,3692,1.74,537
The United Kingdom,Europe,7664234,11289.86,234484,345.41,32997,136168,200.58,965,1.42,63
Russian Federation,Europe,7443149,5100.34,148477,101.74,22236,204679,140.25,5683,3.89,779
Turkey,Europe,7039500,8346.67,192241,227.94,25861,63166,74.9,1592,1.89,228
France,Europe,6781628,10426.96,35408,54.44,4714,114545,176.12,620,0.95,314
Iran (Islamic Republic of),Eastern Mediterranean,5533520,6588.08,108685,129.4,13792,119360,142.11,2178,2.59,288
Argentina,Americas,5250402,11617.02,11792,26.09,562,114862,254.14,495,1.1,13
Colombia,Americas,4950253,9728.72,11002,21.62,1740,126102,247.83,242,0.48,34
Spain,Europe,4946601,10450.72,6210,13.12,0,86229,182.18,88,0.19,0
Italy,Europe,4660314,7813.88,24203,40.58,3099,130697,219.14,387,0.65,44
Indonesia,South-East Asia,4209403,1538.95,16708,6.11,1390,141585,51.76,951,0.35,118
Germany,Europe,4199400,5049.38,53548,64.39,3022,93403,112.31,432,0.52,10
Mexico,Americas,3628812,2814.5,64118,49.73,9697,275303,213.52,4000,3.1,600
Poland,Europe,2903655,7649.62,5356,14.11,421,75572,199.09,84,0.22,0
South Africa,Africa,2896943,4884.52,14313,24.13,967,87052,146.78,878,1.48,51
Philippines,Western Pacific,2490858,2273.07,124179,113.32,20755,37405,34.13,617,0.56,0
Ukraine,Europe,2395404,5477.24,44758,102.34,3007,55720,127.41,801,1.83,94
Malaysia,Western Pacific,2198235,6791.8,100405,310.22,13104,25437,78.59,1994,6.16,278
Peru,Americas,2172261,6588.23,5842,17.72,887,199228,604.24,252,0.76,46
Netherlands,Europe,1996474,11468.99,11653,66.94,1608,18150,104.26,36,0.21,1
Iraq,Eastern Mediterranean,1993767,4956.85,18547,46.11,2139,22110,54.97,288,0.72,38
Japan,Western Pacific,1694675,1339.91,17964,14.2,2288,17482,13.82,278,0.22,29
Czechia,Europe,1689620,15799.79,3258,30.47,256,30454,284.78,16,0.15,1
Chile,Americas,1651750,8640.58,4281,22.39,765,37440,195.85,81,0.42,8
Canada,Americas,1598807,4236.13,29621,78.48,0,27620,73.18,250,0.66,0
Thailand,South-East Asia,1571908,2252.02,82722,118.51,10288,16369,23.45,900,1.29,101
Bangladesh,South-East Asia,1552563,942.72,8325,5.05,1212,27439,16.66,188,0.11,25
Israel,Europe,1266716,14634.74,36909,426.42,3208,7684,88.78,118,1.36,11
Pakistan,Eastern Mediterranean,1238668,560.76,14827,6.71,1780,27566,12.48,360,0.16,42
Belgium,Europe,1233723,10707.13,8404,72.94,0,25554,221.78,34,0.3,0
Romania,Europe,1199761,6207.1,47709,246.83,5655,36450,188.58,858,4.44,109
Sweden,Europe,1149407,11129.48,3580,34.66,0,14821,143.51,9,0.09,0
Portugal,Europe,1066945,10362.81,4897,47.56,565,17954,174.38,47,0.46,2
Kazakhstan,Europe,954295,5082.33,17341,92.35,1910,15865,84.49,362,1.93,362
Morocco,Eastern Mediterranean,929305,2517.72,11179,30.29,734,14167,38.38,291,0.79,35
Serbia,Europe,911066,13152.95,45380,655.15,5389,8051,116.23,281,4.06,43
Cuba,Americas,847494,7482.32,46127,407.24,0,7227,63.81,431,3.81,64
Switzerland,Europe,832924,9624.04,8918,103.04,324,10618,122.69,26,0.3,0
Hungary,Europe,821261,8406.35,3030,31.01,1183,30171,308.83,35,0.36,20
Jordan,Eastern Mediterranean,819783,8034.62,6182,60.59,987,10680,104.67,64,0.63,11
Nepal,South-East Asia,791392,2716.12,5851,20.08,0,11096,38.08,48,0.16,0
Viet Nam,Western Pacific,756689,777.38,69626,71.53,10011,18584,19.09,1494,1.53,184
United Arab Emirates,Eastern Mediterranean,734894,7430.38,2204,22.28,298,2090,21.13,15,0.15,1
Austria,Europe,732259,8226.65,11589,130.2,1556,10736,120.61,65,0.73,6
Tunisia,Eastern Mediterranean,705295,5967.66,4895,41.42,381,24788,209.74,261,2.21,56
Greece,Europe,645969,6026.64,15185,141.67,1100,14679,136.95,213,1.99,24
Lebanon,Eastern Mediterranean,622235,9116.4,4573,67,500,8286,121.4,54,0.79,9
Georgia,Europe,607155,15220.06,11229,281.49,663,8844,221.7,269,6.74,27
Saudi Arabia,Eastern Mediterranean,546926,1571,377,1.08,44,8699,24.99,38,0.11,5
Guatemala,Americas,545796,3046.49,16374,91.4,0,13331,74.41,291,1.62,48
Belarus,Europe,530203,5611.02,13775,145.78,1974,4092,43.3,88,0.93,11
Costa Rica,Americas,521182,10231.05,13670,268.35,0,6189,121.49,198,3.89,0
Sri Lanka,South-East Asia,513609,2398.56,7600,35.49,0,12680,59.22,462,2.16,0
Ecuador,Americas,507858,2878.52,884,5.01,0,32720,185.46,65,0.37,0
Bolivia (Plurinational State of),Americas,498595,4271.35,1645,14.09,0,18696,160.16,42,0.36,0
Bulgaria,Europe,492861,7090.01,10675,153.56,496,20489,294.74,461,6.63,40
Azerbaijan,Europe,480843,4742.43,8124,80.12,1029,6457,63.68,152,1.5,24
Panama,Americas,465993,10799.96,1955,45.31,257,7201,166.89,31,0.72,4
Paraguay,Americas,459779,6446.22,157,2.2,0,16142,226.31,16,0.22,0
Myanmar,South-East Asia,458154,842.04,9996,18.37,0,17527,32.21,398,0.73,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,427102,8372.23,14660,287.37,1069,4293,84.15,116,2.27,7
Kuwait,Eastern Mediterranean,411484,9635.34,360,8.43,37,2446,57.28,8,0.19,1
Slovakia,Europe,408609,7486.6,5687,104.2,121,12596,230.79,23,0.42,0
Croatia,Europe,399891,9853.99,7643,188.34,0,8595,211.8,81,2,0
Uruguay,Americas,388424,11181.76,869,25.02,111,6052,174.22,4,0.12,1
Ireland,Europe,384677,7748.65,9310,187.53,1459,5209,104.93,30,0.6,0
Honduras,Americas,363017,3665.13,5363,54.15,0,9679,97.72,188,1.9,0
Venezuela (Bolivarian Republic of),Americas,362040,1273.18,7801,27.43,1191,4395,15.46,104,0.37,16
Dominican Republic,Americas,357149,3292.33,1999,18.43,215,4039,37.23,12,0.11,4
Denmark,Europe,357037,6131.75,2392,41.08,353,2642,45.37,14,0.24,2
Ethiopia,Africa,341714,297.24,8753,7.61,869,5401,4.7,271,0.24,32
Libya,Eastern Mediterranean,336980,4904.17,6035,87.83,989,4606,67.03,105,1.53,18
Lithuania,Europe,326654,11690.89,9959,356.43,1048,4930,176.44,120,4.29,17
Oman,Eastern Mediterranean,303639,5945.98,216,4.23,26,4095,80.19,2,0.04,1
Republic of Korea,Western Pacific,303553,592.08,16019,31.24,2383,2456,4.79,47,0.09,6
Egypt,Eastern Mediterranean,301625,294.74,4696,4.59,680,17187,16.79,217,0.21,38
Mongolia,Western Pacific,292115,8910.59,13923,424.7,1991,1152,35.14,106,3.23,54
Slovenia,Europe,289955,13834.65,6181,294.91,285,4856,231.69,13,0.62,1
Republic of Moldova,Europe,289025,7164.79,7325,181.58,648,6695,165.97,100,2.48,16
Bahrain,Eastern Mediterranean,274814,16150.57,550,32.32,69,1389,81.63,1,0.06,0
Armenia,Europe,259007,8740.69,5065,170.93,462,5264,177.64,121,4.08,13
Kenya,Africa,248461,462.07,1931,3.59,69,5102,9.49,113,0.21,6
Qatar,Eastern Mediterranean,236298,8201.79,811,28.15,67,605,21,1,0.03,1
Bosnia and Herzegovina,Europe,232056,7073.12,4801,146.34,451,10467,319.04,224,6.83,24
Zambia,Africa,208857,1136.08,388,2.11,28,3646,19.83,8,0.04,1
Nigeria,Africa,204456,99.18,2658,1.29,255,2678,1.3,23,0.01,4
Algeria,Africa,202722,462.3,1122,2.56,148,5777,13.17,83,0.19,10
